ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt0493437,Apna Sapna Money Money,2006,134 min,5.3,"1,892","Comedy, Musical, Romance            ",hindi
tt6597160,Jacqueline I Am Coming,2019,112 min,7.9,16,Drama            ,hindi
tt0829459,A Mighty Heart,2007,108 min,6.6,"26,885","Biography, Drama, History            ",urdu
tt0364628,Raktalekha,1992,175 min,6.3,12,Drama            ,bengali
tt0364733,Veedevadandi Babu,1997,138 min,5.6,218,Comedy            ,telugu
tt5684550,Da Tang Xuan Zang,2016,90 min,6.2,379,"Biography, History            ",sanskrit
tt0318983,Amman Koil Kizhakkaalae,1986,141 min,6.9,63,Drama            ,tamil
tt2302945,Tukaram,2012,156 min,7.3,231,"Biography, Drama, History            ",marathi
tt6517874,Ramante Edenthottam,2017,122 min,6.0,459,"Comedy, Drama, Romance            ",malayalam
tt1319563,Dracula,1999,92 min,4.1,16,Horror            ,hindi
tt1575647,Nuvvu Vasthavani,2000,158 min,6.6,160,"Family, Romance            ",telugu
tt0246905,Saajan Chale Sasural,1996,134 min,6.0,"1,312","Comedy, Drama            ",hindi
tt1582519,Khaleja,2010,170 min,7.6,"8,284","Action, Comedy, Fantasy            ",telugu
tt6682124,Rogue,II 2017,134 min,5.1,118,"Action, Thriller            ",kannada
tt0464849,Yuvakudu,2000,145 min,6.9,110,Romance            ,telugu
tt10515954,Olessia,2019,120 min,8.1,40,"Drama, Musical            ",malayalam
tt5159256,Prohibited,2015,12 min,8.2,25,"Short, Drama, Thriller            ",urdu
tt1039989,Sunday,I 2008,135 min,5.3,"2,592","Action, Comedy, Mystery            ",hindi
tt8622232,Time to Dance,2021,113 min,1.3,406,"Musical, Romance            ",hindi
tt0109922,Gopi Kishan,1994,161 min,5.5,805,"Action, Comedy, Drama            ",hindi
tt0187351,Nigahen: Nagina Part II,1989,140 min,5.2,286,"Drama, Family, Fantasy            ",hindi
tt5026204,Dobara Phir Se,2016,127 min,6.6,427,Drama            ,urdu
tt2373666,Pagaivan,1997,142 min,5.2,82,"Action, Comedy            ",tamil
tt1245732,Red Alert: The War Within,2009,120 min,6.4,337,"Action, Drama, Thriller            ",hindi
tt3666258,Coffee Bloom,2015,90 min,5.9,101,Drama            ,hindi
tt0266712,Laila Majnu,II 1976,140 min,7.2,259,"Drama, Musical, Romance            ",oriya
tt3209556,Vidiyum Munn,2013,129 min,7.4,434,Thriller            ,tamil
tt6120732,Olappeeppi,2016,121 min,7.6,120,Drama            ,malayalam
tt0246433,Apnapan,1977,133 min,6.5,73,"Drama, Romance            ",hindi
tt2980794,Highway,I 2014,133 min,7.6,"26,801","Crime, Drama, Romance            ",hindi
tt1524568,Pratipaksha,1988,108 min,6.9,8,"Action, Drama            ",bengali
tt2942618,Dehorokkhi: The Bodyguard,2013,167 min,6.8,402,Action            ,bengali
tt2777694,Beru,2005,104 min,8.3,19,Drama            ,kannada
tt5278634,White,I 2016,149 min,3.0,471,Romance            ,malayalam
tt3952870,Britto,2014,124 min,7.5,12,Drama            ,bengali
tt0250747,Stalin Sivadas,1999,118 min,2.7,47,"Action, Thriller            ",malayalam
tt0262446,Gopichand Jasoos,1982,150 min,5.9,123,"Comedy, Thriller            ",hindi
tt0995840,Joy: The Real Love Story,2007,127 min,2.1,"1,601","Drama, Romance, Thriller            ",hindi
tt0104098,Dharavi,1992,120 min,7.1,282,"Crime, Drama            ",hindi
tt5771640,Noces,2016,98 min,7.1,"1,360",Drama            ,oriya
tt0266290,Babai Abbai,1984,117 min,6.3,102,"Comedy, Romance            ",telugu
tt3982578,Hututu,2014,138 min,5.0,5,Comedy            ,marathi
tt0083063,Sharda,1981,126 min,5.5,19,"Drama, Family            ",hindi
tt10902596,Satyanweshi Byomkesh,2019,108 min,6.5,267,"Crime, Mystery, Thriller            ",bengali
tt4271912,Mahan,1996,132 min,6.0,8,"Drama, Family            ",bengali
tt1537032,Kanthaswamy,2009,190 min,5.0,"1,567","Action, Crime            ",tamil
tt7757972,Saakshyam,2018,166 min,4.7,437,Action            ,telugu
tt2522328,Shutter,2012,133 min,7.7,"1,017",Thriller            ,malayalam
tt2375283,Maithaanam,2011,125 min,5.9,7,"Drama, Family, Mystery            ",tamil
tt2317103,Sons of Ram,2012,85 min,6.6,76,"Animation, Drama, Musical            ",tamil
tt0376061,Pattalam,2003,159 min,5.1,316,"Action, Comedy, Drama            ",malayalam
tt1577050,Fired,I 2010,87 min,4.4,260,Horror            ,hindi
tt0225515,Dillagi,1999,188 min,5.3,"1,068","Drama, Musical, Romance            ",hindi
tt1530891,Kaana Kanmani,2009,132 min,4.4,106,"Drama, Horror            ",malayalam
tt0186871,Bhagwaan Dada,1986,147 min,4.3,167,"Drama, Thriller            ",hindi
tt0259494,Payal Ki Jhankar,1968,132 min,4.4,12,"Action, Adventure, Comedy            ",hindi
tt0299078,Palkon Ki Chhaon Mein,1977,127 min,7.5,65,"Drama, Romance            ",hindi
tt3454974,Mounamelanoyi,2002,154 min,6.7,16,Romance            ,telugu
tt6917966,Mohanlal,2018,150 min,4.5,507,Comedy            ,malayalam
tt0038475,Dharti Ke Lal,1950,125 min,6.4,16,"Drama, History            ",hindi
tt1092005,Golmaal Returns,2008,135 min,5.1,"7,115","Comedy, Crime, Mystery            ",hindi
tt4003012,The Journey Within,2015,78 min,7.0,35,"Documentary, Music            ",oriya
tt7971756,Inspector Gullu,2018,124 min,6.8,32,Action            ,hindi
tt1857670,Deiva Thirumagal,2011,166 min,8.1,"4,954",Drama            ,tamil
tt4384242,Pataas,2015,127 min,6.7,758,"Action, Comedy            ",telugu
tt0091320,Kala Dhanda Goray Log,1986,158 min,5.7,35,"Drama, Family            ",hindi
tt10964430,Thappad,I 2020,142 min,6.8,"14,626",Drama            ,hindi
tt1351669,Talentime,2009,120 min,6.8,183,Drama            ,tamil
tt4899880,Shah,2015,109 min,8.5,"1,392","Biography, Drama, Sport            ",urdu
tt2334779,Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,896,"Drama, Fantasy, Horror            ",punjabi
tt8364128,Amma I Love You,2018,147 min,7.4,55,Drama            ,kannada
tt3415566,123,2002,127 min,5.7,59,Comedy            ,telugu
tt8933650,Chanakya,2019,147 min,5.4,492,"Action, Adventure, Thriller            ",malayalam
tt0215898,Khaan Dost,1976,157 min,5.6,38,"Action, Crime, Drama            ",hindi
tt1977836,Kalsandhya,1997,124 min,7.8,11,Drama            ,assamese
tt0281721,Chottanikkara Amma,1976,132 min,6.6,8,Drama            ,malayalam
tt1580704,That Girl in Yellow Boots,2010,103 min,6.6,"3,574","Crime, Drama, Mystery            ",kannada
tt0203289,American Desi,2001,100 min,6.6,"1,583","Comedy, Drama, Romance            ",hindi
tt6588966,Hichki,2018,116 min,7.5,"10,905","Comedy, Drama            ",hindi
tt0962716,Babul,1986,162 min,4.8,9,Drama            ,hindi
tt11102314,Tribhanga,2021,95 min,6.1,"2,406","Drama, Family            ",hindi
tt11536276,3 Monkeys,2020,131 min,6.5,82,Drama            ,telugu
tt6650364,Carbon,I 2018,146 min,6.9,"1,115","Adventure, Thriller            ",malayalam
tt0152133,Rahi,1953,139 min,6.9,27,Drama            ,hindi
tt0436165,Chaukat Raja,1991,141 min,7.4,214,Family            ,marathi
tt0273321,Kusruthi Kuruppu,1998,135 min,5.8,40,"Comedy, Drama            ",malayalam
tt0329393,Mr. and Mrs. Iyer,2002,120 min,7.9,"4,681",Drama            ,tamil
tt0254936,Advaitham,1991,181 min,7.0,275,"Action, Crime, Drama            ",malayalam
tt7586994,Kaashi Amarnath,2017,162 min,4.7,11,"Action, Drama, Romance            ",bhojpuri
tt0429541,Afsana Dilwalon Ka,2001,195 min,3.6,"1,024","Drama, Romance            ",urdu
